,status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
25261084,1254456242292080640,443304640,2020-04-26T17:04:09Z,starknightz,15. News: Delaware Gov. John Carney orders residents to wear face coverings in public https://t.co/WlXfBIZg1H #Trump #News #ShareTheNews #CoronaVirus,Twitter Web App,1.2544562408828147e+18,443304640.0,starknightz,False,False,222484,0,,,,22941,25181,,2011-12-22T01:48:44Z,False,en
25262796,1254457774559420419,552066959,2020-04-26T17:10:14Z,DelawarePublic,More on the latest #COVID19 case numbers and deaths in #Delaware. https://t.co/YTe2L20h0B #NetDE #coronavirus,Twitter Web App,,,,False,False,342,1,,,,7262,663,,2012-04-12T18:28:59Z,False,en
25263040,1254458018563006465,67570830,2020-04-26T17:11:12Z,DrIAAS9389,"Due to a lack of employees at chicken processing plants, two million chickens in Delaware and Maryland, USA will be humanely killed. #Covid_19 #CoronaOutbreak #poultry  https://t.co/XjE0lQXDWb",Twitter for iPad,,,,False,False,771,0,,,,28,54,,2009-08-21T09:50:03Z,False,en
25267620,1254462230265036800,1010326561,2020-04-26T17:27:57Z,naturalbeings01,"also important #Voting and #Elections coming up #Covid19 #VoteByMail #Voters #YourVoteIsYourVoice 
#PuertoRico 4/26
#Ohio 4/28
#Georgia 5/19 
#Indiana #RhodeIsland #Delaware #Connecticut #Pennsylvania 6/02
#Louisiana 6/20
#Kentucky 6/23
#NorthCarolina 6/23
#Alabama #Texas 7/14",Twitter Web App,1.252998456341381e+18,1010326561.0,naturalbeings01,False,False,74004,0,,,,2994,4974,,2012-12-14T03:33:47Z,False,en
25270947,1254465196967550976,455445148,2020-04-26T17:39:44Z,Gilfingled,"@BmoreProgressiv @ChrisLu44 In Delaware, workers' worries over immigration status, language barriers, and the fact that in processing plants workers stand close together, contributed to spread of #COVID19 in processing plants https://t.co/636Vtug0cO",Twitter Web App,1.2543757718183772e+18,2151483192.0,BmoreProgressiv,False,False,5862,2,,,,2436,2803,,2012-01-05T03:43:43Z,False,en
25278799,1254472154269265923,1108031034015150080,2020-04-26T18:07:23Z,DonW19580990,"@delawareonline How about how many of 4,034 have recovered and are doing ok now?  Anything about the breakdown of number recovered, hospitalized, etc... and not just infected and death counts?  #Covid_19 #facemask #fullstory",Twitter for iPhone,1.2544655338666516e+18,14307764.0,delawareonline,False,False,1845,0,,,,15,238,,2019-03-19T15:42:39Z,False,en
25284914,1254477638149779456,552066959,2020-04-26T18:29:10Z,DelawarePublic,"Our latest story on #COVID19 cases in Delaware now includes the latest update from the state's Dept. of Correction, which reports another inmate death. https://t.co/YTe2L20h0B  #netDE #coronavirus",Twitter Web App,,,,False,False,342,0,,,,7262,663,,2012-04-12T18:28:59Z,False,en
25290883,1254482650544386049,1108031034015150080,2020-04-26T18:49:05Z,DonW19580990,@Ben_Dewhirst @delawareonline That is great. Now of just @delawareonline knew how to find the same info and share it.  Where is this posted?  Interested in the breakdown for each of the counties. Thanks! #Covid_19 #delawarestrong #Delaware,Twitter for iPhone,1.254473900580356e+18,344384853.0,Ben_Dewhirst,False,False,1845,0,,,,15,238,,2019-03-19T15:42:39Z,False,en
25294676,1254485766299881473,795276654088163330,2020-04-26T19:01:28Z,democracy_16,"He's as dumb as he's spray tanned so Phony like his lackey complicit republican lapdogs dumpster diving in #history - look it up!
#ImpeachedForever #boston #medicalcannabis #nurse #doctor #lawyer #journalist #washingtondc #delaware #LosAngeles #coronavirus #pandemic #sundayvibes https://t.co/R4iAHoSaNi",Twitter Web App,,,,True,False,43569,0,,,,1035,1683,,2016-11-06T14:48:24Z,False,en
25295063,1254486124279578631,17795406,2020-04-26T19:02:53Z,DelawareEMA,This is truly a statewide effort to help keep front line workers safe. Thank you to all of the agencies continuing to work for the health and safety of all Delawareans! #covid19delaware #covid19 #emgtwitter #netde https://t.co/DgE9wzYwSx,Twitter Web App,1.2544861212554035e+18,17795406.0,DelawareEMA,False,False,231,0,,,,15740,241,,2008-12-02T01:22:59Z,True,en
